type,NumberOfGenerations,size,function,time_ms
cuda_v0,100,1024, Alloc Vectors, 0.104448
cuda_v0,100,1024, Copy Memory H->D, 0.482464
cuda_v0,100,1024, Avg. per Kernel, 1.48264
cuda_v0,100,1024, Copy Memory D->H, 0.489824
cuda_v0,100,1024, Alloc Vectors, 0.148896
cuda_v0,100,1024, Copy Memory H->D, 0.551744
cuda_v0,100,1024, Avg. per Kernel, 1.15759
cuda_v0,100,1024, Copy Memory D->H, 0.50528
cuda_v1,100,1024, Alloc Vectors, 0.091328
cuda_v1,100,1024, Copy Memory H->D, 0.555168
cuda_v1,100,1024, Avg. per Kernel, 1.19506
cuda_v1,100,1024, Copy Memory D->H, 0.482208
cuda_v1,100,1024, Alloc Vectors, 0.155744
cuda_v1,100,1024, Copy Memory H->D, 0.556608
cuda_v1,100,1024, Avg. per Kernel, 0.938583
cuda_v1,100,1024, Copy Memory D->H, 0.484384
cuda_v2,100,1024, Alloc Vectors, 0.13696
cuda_v2,100,1024, Copy Memory H->D, 0.52272
cuda_v2,100,1024, Avg. per Kernel, 0.0052272
cuda_v2,100,1024, Copy Memory D->H, 0.52272
cuda_v2,100,1024, Alloc Vectors, 0.181536
cuda_v2,100,1024, Copy Memory H->D, 0.539744
cuda_v2,100,1024, Avg. per Kernel, 0.00539744
cuda_v2,100,1024, Copy Memory D->H, 0.539744
cuda_v2,100,1024, Alloc Vectors, 0.148992
cuda_v2,100,1024, Copy Memory H->D, 0.543936
cuda_v2,100,1024, Avg. per Kernel, 0.00543936
cuda_v2,100,1024, Copy Memory D->H, 0.543936
cuda_v2,100,1024, Alloc Vectors, 0.189984
cuda_v2,100,1024, Copy Memory H->D, 0.626624
cuda_v2,100,1024, Avg. per Kernel, 0.00626624
cuda_v2,100,1024, Copy Memory D->H, 0.626624
cuda_v2,100,1024, Alloc Vectors, 0.154496
cuda_v2,100,1024, Copy Memory H->D, 0.52528
cuda_v2,100,1024, Avg. per Kernel, 0.0052528
cuda_v2,100,1024, Copy Memory D->H, 0.52528
cuda_v2,100,1024, Alloc Vectors, 0.186976
cuda_v2,100,1024, Copy Memory H->D, 0.541376
cuda_v2,100,1024, Avg. per Kernel, 0.00541376
cuda_v2,100,1024, Copy Memory D->H, 0.541376
cuda_v2,100,1024, Alloc Vectors, 0.16832
cuda_v2,100,1024, Copy Memory H->D, 0.5296
cuda_v2,100,1024, Avg. per Kernel, 0.005296
cuda_v2,100,1024, Copy Memory D->H, 0.5296
cuda_v1,100,1024, Alloc Vectors, 0.16384
cuda_v1,100,1024, Copy Memory H->D, 0.52816
cuda_v1,100,1024, Avg. per Kernel, 1.19328
cuda_v1,100,1024, Copy Memory D->H, 0.467392
cuda_v2,100,1024, Alloc Vectors, 0.139456
cuda_v2,100,1024, Copy Memory H->D, 0.65792
cuda_v2,100,1024, Avg. per Kernel, 0.0065792
cuda_v2,100,1024, Copy Memory D->H, 0.65792
cuda_v0,100,1024, Alloc Vectors, 0.110592
cuda_v0,100,1024, Copy Memory H->D, 0.519296
cuda_v0,100,1024, Avg. per Kernel, 1.45609
cuda_v0,100,1024, Copy Memory D->H, 0.4848
cuda_v0,100,1024, Alloc Vectors, 0.173792
cuda_v0,100,1024, Copy Memory H->D, 0.511456
cuda_v0,100,1024, Avg. per Kernel, 1.15508
cuda_v0,100,1024, Copy Memory D->H, 0.508224
cuda_v1,100,1024, Alloc Vectors, 0.100352
cuda_v1,100,1024, Copy Memory H->D, 0.506432
cuda_v1,100,1024, Avg. per Kernel, 1.27693
cuda_v1,100,1024, Copy Memory D->H, 0.514176
cuda_v1,100,1024, Alloc Vectors, 0.166048
cuda_v1,100,1024, Copy Memory H->D, 0.520096
cuda_v1,100,1024, Avg. per Kernel, 0.937105
cuda_v1,100,1024, Copy Memory D->H, 0.476384
cuda_v2,100,1024, Alloc Vectors, 0.106048
cuda_v2,100,1024, Copy Memory H->D, 0.514368
cuda_v2,100,1024, Avg. per Kernel, 0.00514368
cuda_v2,100,1024, Copy Memory D->H, 0.514368
cuda_v2,100,1024, Alloc Vectors, 0.156992
cuda_v2,100,1024, Copy Memory H->D, 0.498208
cuda_v2,100,1024, Avg. per Kernel, 0.00498208
cuda_v2,100,1024, Copy Memory D->H, 0.498208
cuda_v0,100,1024, Alloc Vectors, 0.124928
cuda_v0,100,1024, Copy Memory H->D, 0.489088
cuda_v0,100,1024, Avg. per Kernel, 1.47959
cuda_v0,100,1024, Copy Memory D->H, 0.487072
cuda_v0,100,1024, Alloc Vectors, 0.178304
cuda_v0,100,1024, Copy Memory H->D, 0.51504
cuda_v0,100,1024, Avg. per Kernel, 1.488
cuda_v0,100,1024, Copy Memory D->H, 0.686528
cuda_v1,100,1024, Alloc Vectors, 0.157696
cuda_v1,100,1024, Copy Memory H->D, 0.587168
cuda_v1,100,1024, Avg. per Kernel, 1.20024
cuda_v1,100,1024, Copy Memory D->H, 0.460032
cuda_v1,100,1024, Alloc Vectors, 0.156224
cuda_v1,100,1024, Copy Memory H->D, 0.5256
cuda_v1,100,1024, Avg. per Kernel, 1.20816
cuda_v1,100,1024, Copy Memory D->H, 0.488896
cuda_v2,100,1024, Alloc Vectors, 0.164384
cuda_v2,100,1024, Copy Memory H->D, 0.51344
cuda_v2,100,1024, Avg. per Kernel, 0.0051344
cuda_v2,100,1024, Copy Memory D->H, 0.51344
cuda_v2,100,1024, Alloc Vectors, 0.166464
cuda_v2,100,1024, Copy Memory H->D, 0.539008
cuda_v2,100,1024, Avg. per Kernel, 0.00539008
cuda_v2,100,1024, Copy Memory D->H, 0.539008
cuda_v0,100,1024, Alloc Vectors, 0.161856
cuda_v0,100,1024, Copy Memory H->D, 0.521824
cuda_v0,100,1024, Avg. per Kernel, 1.47709
cuda_v0,100,1024, Copy Memory D->H, 0.484032
cuda_v0,100,1024, Alloc Vectors, 0.233248
cuda_v0,100,1024, Copy Memory H->D, 0.646016
cuda_v0,100,1024, Avg. per Kernel, 1.15932
cuda_v0,100,1024, Copy Memory D->H, 0.65616
cuda_v1,100,1024, Alloc Vectors, 0.110592
cuda_v1,100,1024, Copy Memory H->D, 0.504064
cuda_v1,100,1024, Avg. per Kernel, 1.19806
cuda_v1,100,1024, Copy Memory D->H, 0.542176
cuda_v1,100,1024, Alloc Vectors, 0.195456
cuda_v1,100,1024, Copy Memory H->D, 0.50384
cuda_v1,100,1024, Avg. per Kernel, 0.938443
cuda_v1,100,1024, Copy Memory D->H, 0.481536
cuda_v2,100,1024, Alloc Vectors, 0.10336
cuda_v2,100,1024, Copy Memory H->D, 0.521664
cuda_v2,100,1024, Avg. per Kernel, 0.00521664
cuda_v2,100,1024, Copy Memory D->H, 0.521664
cuda_v2,100,1024, Alloc Vectors, 0.158112
cuda_v2,100,1024, Copy Memory H->D, 0.52112
cuda_v2,100,1024, Avg. per Kernel, 0.0052112
cuda_v2,100,1024, Copy Memory D->H, 0.52112
cuda_v0,100,1024, Alloc Vectors, 0.114112
cuda_v0,100,1024, Copy Memory H->D, 0.541152
cuda_v0,100,1024, Avg. per Kernel, 1.55538
cuda_v0,100,1024, Copy Memory D->H, 0.502048
cuda_v0,100,1024, Alloc Vectors, 0.174912
cuda_v0,100,1024, Copy Memory H->D, 0.56192
cuda_v0,100,1024, Avg. per Kernel, 1.15867
cuda_v0,100,1024, Copy Memory D->H, 0.527712
cuda_v1,100,1024, Alloc Vectors, 0.161248
cuda_v1,100,1024, Copy Memory H->D, 1.32883
cuda_v1,100,1024, Avg. per Kernel, 1.19679
cuda_v1,100,1024, Copy Memory D->H, 0.478624
cuda_v1,100,1024, Alloc Vectors, 0.17552
cuda_v1,100,1024, Copy Memory H->D, 0.5304
cuda_v1,100,1024, Avg. per Kernel, 0.939068
cuda_v1,100,1024, Copy Memory D->H, 0.487072
cuda_v2,100,1024, Alloc Vectors, 0.094208
cuda_v2,100,1024, Copy Memory H->D, 0.5016
cuda_v2,100,1024, Avg. per Kernel, 0.005016
cuda_v2,100,1024, Copy Memory D->H, 0.5016
cuda_v2,100,1024, Alloc Vectors, 0.164704
cuda_v2,100,1024, Copy Memory H->D, 0.501024
cuda_v2,100,1024, Avg. per Kernel, 0.00501024
cuda_v2,100,1024, Copy Memory D->H, 0.501024
cuda_v0,100,2048, Alloc Vectors, 0.202176
cuda_v0,100,2048, Copy Memory H->D, 1.6847
cuda_v0,100,2048, Avg. per Kernel, 5.52971
cuda_v0,100,2048, Copy Memory D->H, 1.4641
cuda_v0,100,2048, Alloc Vectors, 0.209568
cuda_v0,100,2048, Copy Memory H->D, 1.6575
cuda_v0,100,2048, Avg. per Kernel, 4.56834
cuda_v0,100,2048, Copy Memory D->H, 1.46294
cuda_v1,100,2048, Alloc Vectors, 0.174848
cuda_v1,100,2048, Copy Memory H->D, 1.66624
cuda_v1,100,2048, Avg. per Kernel, 4.60712
cuda_v1,100,2048, Copy Memory D->H, 1.42259
cuda_v1,100,2048, Alloc Vectors, 0.213184
cuda_v1,100,2048, Copy Memory H->D, 1.6753
cuda_v1,100,2048, Avg. per Kernel, 3.696
cuda_v1,100,2048, Copy Memory D->H, 1.43107
cuda_v2,100,2048, Alloc Vectors, 0.206688
cuda_v2,100,2048, Copy Memory H->D, 1.67389
cuda_v2,100,2048, Avg. per Kernel, 0.0167389
cuda_v2,100,2048, Copy Memory D->H, 1.67389
cuda_v2,100,2048, Alloc Vectors, 0.204832
cuda_v2,100,2048, Copy Memory H->D, 1.6295
cuda_v2,100,2048, Avg. per Kernel, 0.016295
cuda_v2,100,2048, Copy Memory D->H, 1.6295
cuda_v0,100,2048, Alloc Vectors, 0.2048
cuda_v0,100,2048, Copy Memory H->D, 1.63187
cuda_v0,100,2048, Avg. per Kernel, 4.8888
cuda_v0,100,2048, Copy Memory D->H, 1.47798
cuda_v0,100,2048, Alloc Vectors, 0.235488
cuda_v0,100,2048, Copy Memory H->D, 1.59603
cuda_v0,100,2048, Avg. per Kernel, 4.57047
cuda_v0,100,2048, Copy Memory D->H, 1.4807
cuda_v1,100,2048, Alloc Vectors, 0.188992
cuda_v1,100,2048, Copy Memory H->D, 1.6168
cuda_v1,100,2048, Avg. per Kernel, 4.08085
cuda_v1,100,2048, Copy Memory D->H, 1.44003
cuda_v1,100,2048, Alloc Vectors, 0.227232
cuda_v1,100,2048, Copy Memory H->D, 1.65386
cuda_v1,100,2048, Avg. per Kernel, 3.69618
cuda_v1,100,2048, Copy Memory D->H, 1.43715
cuda_v2,100,2048, Alloc Vectors, 0.222016
cuda_v2,100,2048, Copy Memory H->D, 1.62694
cuda_v2,100,2048, Avg. per Kernel, 0.0162694
cuda_v2,100,2048, Copy Memory D->H, 1.62694
cuda_v2,100,2048, Alloc Vectors, 0.203904
cuda_v2,100,2048, Copy Memory H->D, 1.65469
cuda_v2,100,2048, Avg. per Kernel, 0.0165469
cuda_v2,100,2048, Copy Memory D->H, 1.65469
cuda_v0,100,100, Alloc Vectors, 0.33248
cuda_v0,100,100, Copy Memory H->D, 0.036608
cuda_v0,100,100, Avg. per Kernel, 0.65061
cuda_v0,100,100, Copy Memory D->H, 0.156096
cuda_v0,100,100, Alloc Vectors, 0.251424
cuda_v0,100,100, Copy Memory H->D, 0.038976
cuda_v0,100,100, Avg. per Kernel, 0.0472064
cuda_v0,100,100, Copy Memory D->H, 0.111296
cuda_v1,100,100, Alloc Vectors, 0.091808
cuda_v1,100,100, Copy Memory H->D, 0.032544
cuda_v1,100,100, Avg. per Kernel, 0.372053
cuda_v1,100,100, Copy Memory D->H, 0.025056
cuda_v1,100,100, Alloc Vectors, 0.163232
cuda_v1,100,100, Copy Memory H->D, 0.018048
cuda_v1,100,100, Avg. per Kernel, 0.0612339
cuda_v1,100,100, Copy Memory D->H, 0.047808
cuda_v2,100,100, Alloc Vectors, 0.098528
cuda_v2,100,100, Copy Memory H->D, 0.017952
cuda_v2,100,100, Avg. per Kernel, 1.41236
cuda_v2,100,100, Copy Memory D->H, 0.0352
cuda_v2,100,100, Alloc Vectors, 0.13968
cuda_v2,100,100, Copy Memory H->D, 0.020192
cuda_v2,100,100, Avg. per Kernel, 1.06752
cuda_v2,100,100, Copy Memory D->H, 0.037888
cuda_v0,100,200, Alloc Vectors, 0.119584
cuda_v0,100,200, Copy Memory H->D, 0.039104
cuda_v0,100,200, Avg. per Kernel, 0.547555
cuda_v0,100,200, Copy Memory D->H, 0.079328
cuda_v0,100,200, Alloc Vectors, 0.15888
cuda_v0,100,200, Copy Memory H->D, 0.049024
cuda_v0,100,200, Avg. per Kernel, 0.0891091
cuda_v0,100,200, Copy Memory D->H, 0.117408
cuda_v1,100,200, Alloc Vectors, 0.092032
cuda_v1,100,200, Copy Memory H->D, 0.051584
cuda_v1,100,200, Avg. per Kernel, 0.5233
cuda_v1,100,200, Copy Memory D->H, 0.03712
cuda_v1,100,200, Alloc Vectors, 0.158688
cuda_v1,100,200, Copy Memory H->D, 0.047872
cuda_v1,100,200, Avg. per Kernel, 0.126495
cuda_v1,100,200, Copy Memory D->H, 0.07504
cuda_v2,100,200, Alloc Vectors, 0.083392
cuda_v2,100,200, Copy Memory H->D, 0.045056
cuda_v2,100,200, Avg. per Kernel, 2.01769
cuda_v2,100,200, Copy Memory D->H, 0.042208
cuda_v2,100,200, Alloc Vectors, 0.15744
cuda_v2,100,200, Copy Memory H->D, 0.042208
cuda_v2,100,200, Avg. per Kernel, 1.29433
cuda_v2,100,200, Copy Memory D->H, 0.04592
cuda_v0,100,300, Alloc Vectors, 0.119648
cuda_v0,100,300, Copy Memory H->D, 0.075904
cuda_v0,100,300, Avg. per Kernel, 0.603773
cuda_v0,100,300, Copy Memory D->H, 0.081728
cuda_v0,100,300, Alloc Vectors, 0.158592
cuda_v0,100,300, Copy Memory H->D, 0.069216
cuda_v0,100,300, Avg. per Kernel, 0.168165
cuda_v0,100,300, Copy Memory D->H, 0.097088
cuda_v1,100,300, Alloc Vectors, 0.09392
cuda_v1,100,300, Copy Memory H->D, 0.068448
